country,marital_status,live_parents,children,household,highest_ed,employment,income
Albania,1,1,5,2,4,4,3
Albania,1,1,3,3,4,3,1
Albania,1,1,2,2,3,4,4
Albania,1,1,4,6,3,5,1
Albania,1,3,1,6,4,7,NA
Albania,1,2,3,6,3,7,2
Albania,6,2,0,6,4,6,5
Albania,6,2,0,4,4,6,6
Albania,6,2,0,6,4,6,8
Albania,6,2,0,4,4,6,NA
Albania,1,3,1,5,7,1,7
Albania,1,1,1,3,7,3,6
Albania,6,2,0,4,7,6,7
Albania,1,1,2,2,8,2,8
Albania,1,1,2,2,8,7,1
Albania,6,2,0,4,3,6,8
Albania,1,1,3,2,8,4,5
Albania,1,1,3,2,3,4,NA
Albania,1,1,2,4,4,3,7
Albania,6,2,0,5,8,1,9
Albania,1,1,2,2,4,4,5
Albania,1,1,3,3,3,7,5
Albania,1,1,2,3,4,3,6
Albania,1,3,0,5,4,7,6
Albania,1,1,1,6,4,7,7
Albania,1,3,3,6,3,7,2
Albania,6,2,0,4,4,1,4
Albania,1,1,5,5,7,4,5
Albania,1,3,2,6,4,7,3
Albania,1,1,4,6,3,5,3
Albania,5,1,3,2,4,4,2
Albania,1,1,2,2,4,4,3
Albania,5,1,5,1,2,4,2
Albania,1,1,2,4,7,1,6
Albania,1,1,0,2,8,1,7
Albania,1,1,4,5,3,1,4
Albania,6,2,0,5,4,6,7
Albania,1,1,5,2,4,4,3
Albania,1,3,2,6,3,7,3
Albania,1,2,3,3,4,7,1
Albania,1,1,4,6,3,5,1
Albania,5,1,3,1,4,4,3
Albania,1,1,1,3,8,3,9
Albania,1,1,2,3,4,5,NA
Albania,1,1,2,4,4,7,8
Albania,1,3,1,5,7,6,NA
Albania,6,2,0,4,4,6,8
Albania,1,1,3,4,4,4,4
Albania,1,1,1,3,7,1,NA
Albania,1,1,2,4,7,1,9
Albania,1,3,1,5,8,5,NA
Albania,1,3,2,6,3,5,5
Albania,5,1,4,1,3,5,NA
Albania,6,1,0,6,2,7,1
Albania,1,1,2,4,3,7,3
Albania,1,2,3,6,3,3,4
Albania,5,1,0,4,4,4,4
Albania,5,1,5,5,2,4,4
Albania,1,3,4,6,3,5,1
Albania,1,1,3,2,3,5,1
Albania,1,3,4,5,3,5,4
Albania,6,2,0,6,7,7,1
Albania,3,2,1,4,3,1,6
Albania,1,1,3,3,4,1,6
Albania,1,1,2,4,4,1,7
